Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 3,LL12
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL122
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 4,LL123
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 1,MN
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
2016,Level 3,MN11
